symbol	mass
Zr	89.90469772
Zn	63.9291420171
Yb	173.938866422
Y	88.905840324
Xe	131.904155085656
W	183.9509309294
V	50.9439570494
U	238.05078842
Tm	168.934217922
Tl	204.974427814
Ti	47.9479419838
Th	232.038055821
Te	129.90622274812
Tb	158.925354719
Ta	180.94799582
Sr	87.905612512
Sn	119.9022016397
Sm	151.919739718
Si	27.9769265346544
Se	79.916521813
Sc	44.9559082877
Sb	120.90381203
S	31.972071174414
Ru	101.904344112
Rh	102.905498026
Re	186.955750116
Rb	84.911789737954
Pt	194.96479171
Pr	140.907657623
Pd	105.903480412
Pb	207.976652513
Pa	231.035884224
P	30.973761998427
Os	191.961477029
O	15.9949146195717
Ni	57.9353424152
Ne	19.992440176217
Nd	141.90772902
Nb	92.90637302
Na	22.989769282019
N	14.003074004432
Mo	97.9054048249
Mn	54.9380439148
Mg	23.98504169714
Lu	174.94077522
Li	7.016003436645
La	138.906356324
Kr	83.911497728244
K	38.963706486449
Ir	192.962921621
In	114.90387877612
I	126.904471939
Ho	164.930328821
Hg	201.9706434069
Hf	179.94655702
He	4.002603254136
H	1.007825032239
Ge	73.92117776113
Gd	157.924112317
Ga	68.925573513
Fe	55.9349363349
F	18.9984031627392
Eu	152.921238018
Er	165.930299522
Dy	163.92918192
Cu	62.9295977256
Cs	132.90545196108
Cr	51.9405062363
Co	58.9331942956
Cl	34.96885268237
Ce	139.905443123
Cd	113.9033650943
Ca	39.96259086322
C	12.0
Br	78.918337614
Bi	208.980399116
Be	9.01218306582
Ba	137.9052470031
B	11.0093053645
Au	196.9665687971
As	74.9215945795
Ar	39.962383123724
Al	26.9815385311
Ag	106.905091626
